 _id,question_text,question_picture,arabic_translation_of_question,chapter_name,duration,justification,hint,arabic_translation_of_hint,arabic_translation_of_justification,subject,skill_profile,question_type,sub_topic,content_type,difficulty_level,option_A,option_B,option_C,option_D,correct_options,O_question_text,O_arabic_translation_of_question,O_hintO_arabic_translation_of_hint,,O_justification,O_arabic_translation_of_justification,O_option_A,O_option_B,O_option_C,O_option_D,reviewed,Grade,question_class
,Which of the following is the reciprocal of the reciprocal of a rational number?,,,5b742ff71c9d44793ed1567c,,"Let rational number be @\frac{x}{y}@. The reciprocal of a rational number = @\frac{y}{x}@. So, the reciprocal of the reciprocal of a rational number = @\frac{x}{y}@",,,,math,number_skills,practice,Rational numbers,html,medium,0,1,-1,Number itself,D,,,,,,,,,,,,8,mcq
,Is @\frac{8}{9}@ the multiplicative inverse of-1 @\frac{1}{8}@?,,,5b742ff71c9d44793ed1567c,,"-1 @\frac{1}{8}@ =-@\frac{9}{8}@. @\frac{8}{9}@ X-@\frac{9}{8}@ =-1. Therefore, @\frac{8}{9}@ is not multiplicative inverse of-1 @\frac{1}{8}@.",,,,math,number_skills,practice,Rational numbers,html,medium,Yes,No,Sometimes,Cannot be determined,B,,,,,,,,,,,,8,mcq
,By what number should-@\frac{3}{4}@ be multiplied to produce @\frac{2}{3}@?,,,5b742ff71c9d44793ed1567c,,"Let the number be y.-@\frac{3}{4}@ X y = @\frac{2}{3}@. Hence, (@\frac{2}{3}@) ÷(-@\frac{3}{4}@) = y. y = (@\frac{2}{3}@) X @\frac{(4}{-3).}@ y =-@\frac{8}{9}@.-@\frac{3}{4}@ should be multiplied by-@\frac{8}{9}@ to produce @\frac{2}{3}@.",,,,math,number_skills,practice,Rational numbers,html,medium,@\frac{8}{9}@,@\frac{5}{9}@,-@\frac{5}{9}@,-@\frac{8}{9}@,D,,,,,,,,,,,,8,mcq
,3 @\frac{1}{7}@ x 1 @\frac{5}{6}@ x 1 @\frac{2}{5}@ x 1 @\frac{1}{11}@ = __________.,,,5b742ff71c9d44793ed1567c,,3 @\frac{1}{7}@x1 @\frac{5}{6}@x1 @\frac{2}{5}@x1 @\frac{1}{11}@ = @\frac{22}{7}@x@\frac{11}{6}@x@\frac{7}{5}@x@\frac{12}{11}@ = 22x11x7x@\frac{12}{7}@x6x5x11 = @\frac{44}{5}@.,,,,math,number_skills,practice,Rational numbers,html,medium,@\frac{44}{5}@,@\frac{42}{5}@,@\frac{22}{5}@,-@\frac{42}{5}@,A,,,,,,,,,,,,8,mcq
,By what number should-@\frac{33}{16}@ be divided to get-@\frac{11}{4}@?,,,5b742ff71c9d44793ed1567c,,Let the required number bex. Then-@\frac{33}{16}@ ÷x=-@\frac{11}{4}@.x=-@\frac{33}{16}@ ÷-@\frac{11}{4}@ = @\frac{-@\frac{33}{16}@x4}{-11}@ = ¾,,,,math,number_skills,practice,Rational numbers,html,medium,-@\frac{3}{4}@,@\frac{1}{4}@,@\frac{4}{3}@,@\frac{3}{4}@,D,,,,,,,,,,,,8,mcq
,"Find @\frac{(x+y)}{(x-y),}@ if x = @\frac{1}{4}@ and y = @\frac{3}{2}@.",,,5b742ff71c9d44793ed1567c,,"@\frac{x+@\frac{y)}{(x-}@ y) Substitutingx= @\frac{1}{4}@ and y = @\frac{3}{2}@, (@\frac{1}{4}@+@\frac{@\frac{3}{2}@)}{(@\frac{1}{4}@}@-@\frac{3}{2}@) = (@\frac{7}{4}@}{-@\frac{5}{4}@}@ = @\frac{@\frac{7}{4}@x4}{-5}@ =-@\frac{7}{5}@",,,,math,number_skills,practice,Rational numbers,html,hard,-@\frac{4}{3}@,-@\frac{3}{2}@,-@\frac{7}{5}@,-@\frac{2}{3}@,C,,,,,,,,,,,,8,mcq
,Find @\frac{3}{7}@+@\frac{-6}{11}@+@\frac{-8}{21}@+@\frac{5}{22}@.,,,5b742ff71c9d44793ed1567c,,@\frac{3}{7}@+@\frac{-6}{11}@+@\frac{-8}{21}@+@\frac{5}{22}@ = @\frac{198}{462}@+@\frac{-252}{462}@+@\frac{-176}{462}@+@\frac{105}{462}@ = (198-252-176+@\frac{105)}{462}@ =-@\frac{125}{462}@,,,,math,number_skills,practice,Rational numbers,html,hard,@\frac{125}{462}@,-@\frac{125}{462}@,@\frac{125}{42}@,-@\frac{125}{402}@,B,,,,,,,,,,,,8,mcq
,Compare: @\frac{1}{2}@ ÷[-@\frac{1}{3}@ ÷@\frac{2}{5}@] __________ [@\frac{1}{2}@ ÷(-@\frac{1}{3}@)] ÷@\frac{2}{5}@.,,,5b742ff71c9d44793ed1567c,,"@\frac{1}{2}@ ÷[-@\frac{1}{3}@ ÷@\frac{2}{5}@] = @\frac{1}{2}@ ÷[-@\frac{1}{3}@x@\frac{5}{2}@] = @\frac{1}{2}@ ÷[-@\frac{5}{6}@] = @\frac{1}{2}@x-@\frac{6}{5}@ =-@\frac{6}{10}@=-@\frac{3}{5}@. [@\frac{1}{2}@ ÷(-@\frac{1}{3}@)] ÷@\frac{2}{5}@ = [@\frac{1}{2}@x-3]x@\frac{5}{2}@ =-@\frac{3}{2}@x@\frac{5}{2}@ =-@\frac{15}{4}@. Thus, they are not equal.",,,,math,number_skills,practice,Rational numbers,html,hard,Equal,Not equal,Cannot be determined,None of these,B,,,,,,,,,,,,8,mcq
,What is the value of (-4)^3?,,,5b742ff71c9d44727cd1567d,,"(-4)^3
 =-4x-4x-4
 = 16x-4
 =-64",,,,math,number_skills,practice,Powers and Exponents,html,easy,16,-16,64,-64,D,,,,,,,,,,,,8,mcq
,What is the value of (-@\frac{2}{10}@)^3?,,,5b742ff71c9d44727cd1567d,,"(-@\frac{2}{10}@^)3
 =-@\frac{2}{10}@x-@\frac{2}{10}@x-@\frac{2}{10}@
 = @\frac{4}{100}@x-@\frac{2}{10}@
 =-@\frac{8}{1000}@
 =-0.008",,,,math,number_skills,practice,Powers and Exponents,html,easy,-0.008,-0.002,-@\frac{8}{100}@,-@\frac{4}{1000}@,A,,,,,,,,,,,,8,mcq
,What is the value of (1.3)^2?,,,5b742ff71c9d44727cd1567d,,"(1.3)^2
 = 1.3x1.3
 = 1.69",,,,math,number_skills,practice,Powers and Exponents,html,easy,169,1.69,16.9,0.169,B,,,,,,,,,,,,8,mcq
,What is the value of (-7)^2?,,,5b742ff71c9d44727cd1567d,,"(-7)^2
 =-7x-7
 = 49",,,,math,number_skills,practice,Powers and Exponents,html,easy,48,-48,-49,49,D,,,,,,,,,,,,8,mcq
,What is the value of (-@\frac{8}{10}@)^2?,,,5b742ff71c9d44727cd1567d,,"(-@\frac{8}{10}@)^2
 =-@\frac{8}{10}@x-@\frac{8}{10}@
 = @\frac{64}{100}@
 = 0.64",,,,math,number_skills,practice,Powers and Exponents,html,easy,0.64,-0.64,-6.4,6.4,A,,,,,,,,,,,,8,mcq
,(am)^n = __________.,,,5b742ff71c9d44727cd1567d,,"(am)^n
 In this a to the power m and all that to the power n, it will be power mxnth time.
 Hence,
 a^nm^n the correct answer.",,,,math,number_skills,practice,Powers and Exponents,html,easy,am+n,a(@\frac{m}{n}@),am-n,am x n,D,,,,,,,,,,,,8,mcq
,"If p = 3 and q = 4, then the value of 3p^2q^2 = __________.",,,5b742ff71c9d44727cd1567d,,"p = 3 and q = 4
 3p^2q^2
 = 3 (3)^2 (4)^2
 = 3x9x16
 = 432",,,,math,number_skills,practice,Powers and Exponents,html,easy,432,452,442,422,A,,,,,,,,,,,,8,mcq
,a^9 ÷a^4 = __________.,,,5b742ff71c9d44727cd1567d,,"a^9 ÷a^4
 @\frac{=axaxaxaxaxaxaxaxa}{axaxaxa}@
 = axaxaxaxa (Cancelling a four times)
 = a5",,,,math,number_skills,practice,Powers and Exponents,html,easy,a,a^5,a^14,a^9,B,,,,,,,,,,,,8,mcq
,4^8 ÷4^3 = __________.,,,5b742ff71c9d44727cd1567d,,"4^8 ÷4^3
 = @\frac{4^8}{4^3}@
(subtract powers)
 4^5",,,,math,number_skills,practice,Powers and Exponents,html,easy,45,4^11,4^5,4,C,,,,,,,,,,,,8,mcq
,50^0 = __________.,,,5b742ff71c9d44727cd1567d,,"Any number to the zero power is 1
 Hence, correct answer is 1.",,,,math,number_skills,practice,Powers and Exponents,html,easy,0,1,-1,5,B,,,,,,,,,,,,8,mcq
,3^5 ÷3^-6 = __________.,,,5b742ff71c9d44727cd1567d,,"3^5 ÷3^-6 = (subtract power)
 5-(-6) = 11
= Therefore, 3^11",,,,math,number_skills,practice,Powers and Exponents,html,medium,3^6,3^-1,3^5,3^11,D,,,,,,,,,,,,8,mcq
,Express 729 in exponential form.,,,5b742ff71c9d44727cd1567d,,729 = 3^6.,,,,math,number_skills,practice,Powers and Exponents,html,medium,3^3,3^5,3^6,3^8,C,,,,,,,,,,,,8,mcq
,Find the value of n: 7^(2n+1) ÷49 = 7^3,,,5b742ff71c9d44727cd1567d,,"7^(2n+1) ÷7^2 = 7^3. 
7^(2n+1-2) = 7^3. 
7^(2n-1) = 7^3. 
2n-1 = 3. 
2n = 4. 
n = 2",,,,math,number_skills,practice,Powers and Exponents,html,medium,0,2,4,1,B,,,,,,,,,,,,8,mcq
,"If 9 x 3^y = 3^7, then find y.",,,5b742ff71c9d44727cd1567d,,"3^2x3^y = 3^7.
 3^(2+y) = 3^7. 
2+y = 7. 
y = 5",,,,math,number_skills,practice,Powers and Exponents,html,medium,4,5,@\frac{3}{5}@,@\frac{1}{2}@,B,,,,,,,,,,,,8,mcq
,8.4 x 10^2 = __________.,,,5b742ff71c9d44727cd1567d,,8.4x102 = 8.4x100 = 840,,,,math,number_skills,practice,Powers and Exponents,html,medium,840,168,84,1680,A,,,,,,,,,,,,8,mcq
,5+6^2+3^3 __________ 3^4.,,,5b742ff71c9d44727cd1567d,,"5+6^2+3^3 = 5+36+27 = 68. 
3^4 = 81. 
5+6^2+33 < 3^4.",,,,math,number_skills,practice,Powers and Exponents,html,hard,<,>,=,Cannot be determined,A,,,,,,,,,,,,8,mcq
,Simplify and write in exponential form: [2^8 x @\frac{a^5]}{[4^3}@ x a^3],,,5b742ff71c9d44727cd1567d,,"@\frac{[28xa5]}{[43xa3]}@ 
= @\frac{[28xa5]}{[(22)3xa3]}@
 = @\frac{28}{26}@x@\frac{a5}{a3}@ 
= 28-6xa5-3 = 22xa2 
= (2 x a)2 
= 4a^2",,,,math,number_skills,practice,Powers and Exponents,html,hard,a^2,2a^3,a^4,4a^2,D,,,,,,,,,,,,8,mcq
,(2^0 + 3^0)(4^0 + 5^0) = __________.,,,5b742ff71c9d44727cd1567d,,(2^0 + 3^0)(4^0 + 5^0) = (1+1)(1+1) = 2x2 = 4,,,,math,number_skills,practice,Powers and Exponents,html,hard,1,2,-2,4,D,,,,,,,,,,,,8,mcq
,Divide r^8 by-r^10.,,,5b742ff71c9d444606d1567e,,"@\frac{r^8}{-r^10.}@
 = @\frac{r^8}{-}@ (r^8xr^2)
 -@\frac{=}{1}@ r^2",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,r^2,-r^2,-@\frac{1}{r^2}@,None of these,C,,,,,,,,,,,,8,mcq
,8p^5 x 3p = __________.,,,5b742ff71c9d444606d1567e,,"a^mxan = a^(m+n)
 8p^5x3p
 = 24 p^(5+1)
 =  24 p^6",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,11p^6,24p^5,24p^6,11p^5,C,,,,,,,,,,,,8,mcq
,2^x X 5^y X 7^z = __________.,,,5b742ff71c9d444606d1567e,,"2^x X 5^y X 7^z
 = 2 x 5 x 7 ^(xyz)
 = 70^xyz",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,x+y+z+14,14^xyz,70^xyz,70^(x+y+z),C,,,,,,,,,,,,8,mcq
,"Find the product of 7xy, 5x^2y^2 and 6x^3y^3.",,,5b742ff71c9d444606d1567e,,"a^m x a^n = a^(m+n)
 7xy x 5x^2y^2 x 6x^3^y3
 = 7x5x6 x x^(1+2+3)  x y^(1+2+3)
 = 210 x^6 y^6",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,210 x^6y^6,120xy^6,15xy^5,15xy^6,A,,,,,,,,,,,,8,mcq
,-4p x 7pq = __________.,,,5b742ff71c9d444606d1567e,,"-4px7pq

 =-28 p^2q",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,-28p^2q,-56pq,28p^2q,-28pq^2,A,,,,,,,,,,,,8,mcq
,3mn x 4np = __________.,,,5b742ff71c9d444606d1567e,,"3mnx4np
 = 12mpn^2",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,7mpn^2,12mpn^2,24mnp,12m+n+p,B,,,,,,,,,,,,8,mcq
,Divide-9x^2y^2 by-3^y.,,,5b742ff71c9d444606d1567e,,"@\frac{9x2y2}{-3y}@
 = @\frac{3x3x2y2}{-3y}@
 = @\frac{-3x2y2}{y1}@
 =-3x^2y^(2-1)
 =-3x^2y",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,3x^2y,(3xy)^2,3xy^2,3xy,A,,,,,,,,,,,,8,mcq
,Multiply abcd by ab.,,,5b742ff71c9d444606d1567e,,"abcdxab

 = a^2b^2 cd",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,ab^2cd,a^2bcd,a^2b^2cd,abcd,C,,,,,,,,,,,,8,mcq
,Solve: (@\frac{2r^5w^3}{r^4w^3}@)^4,,,5b742ff71c9d444606d1567e,,"(@\frac{2r^5w^3}{r^4w^3}@)^4
 
 = (@\frac{2r^5w^3}{r^4w^3}@)^4
 = (2r^(5-4)w^(3-3)) 4
 = (2r^1w^0) ^4
 = 16 x r^4
 = 16r^4",,,,math,number_skills,practice,Multiply and Divide Monomials,html,easy,16r^4,32r^4,16,r^4,A,,,,,,,,,,,,8,mcq
,Divide 20x^3y^8 by-5x^2y.,,,5b742ff71c9d444606d1567e,,@\frac{20x^3y^8}{-5x^2y}@ =-4xy^7,,,,math,number_skills,practice,Multiply and Divide Monomials,html,medium,4xy^7,-4xy^7,4xy^6,-4y^7,B,,,,,,,,,,,,8,mcq
,Divide 3p^5q^2 by 9p^2q^5.,,,5b742ff71c9d444606d1567e,,@\frac{3p^5q^2}{9p^2q^5}@ = @\frac{p^3}{3q^3}@,,,,math,number_skills,practice,Multiply and Divide Monomials,html,medium,@\frac{1}{3p^2q^3}@,@\frac{1}{3p^3q^2}@,3p^3q^3,@\frac{p^3}{3q^3}@,D,,,,,,,,,,,,8,mcq
,8x^2 X 4x^3 = __________.,,,5b742ff71c9d444606d1567e,,8x^2 X 4x^3 = 3^2x^(2+3) = 2^5x^5 = (2x)^5,,,,math,number_skills,practice,Multiply and Divide Monomials,html,medium,(32x)^5,(16x)^5,(2x)^5,(2x)^4,C,,,,,,,,,,,,8,mcq
,Find the area of a rectangle with edges 213 and 3m^3.,,,5b742ff71c9d444606d1567e,,Area of the rectangle = 213 x 3m^3 = 639m^3.,,,,math,number_skills,practice,Multiply and Divide Monomials,html,medium,612m^2,639m^3,513m^3,512m^2,B,,,,,,,,,,,,8,mcq
,Divide 18yz by -18yz.,,,5b742ff71c9d444606d1567e,,18yz ÷-18yz =-1,,,,math,number_skills,practice,Multiply and Divide Monomials,html,medium,1,-1,9,yz,B,,,,,,,,,,,,8,mcq
,Find the area of a rectangle with length 7xy^2 inches and width 8x^2y inches.,,,5b742ff71c9d444606d1567e,,Area of rectangle = lengthxwidth = 7xy2 x 8x^2y = 56x^3y^3 sq.in.,,,,math,number_skills,practice,Multiply and Divide Monomials,html,hard,56x^2y^2 sq.in.,56x^3y^3 sq.in.,56xy,56x^3y^2 sq.in.,B,,,,,,,,,,,,8,mcq
,"Find the volume of a rectangular box of length 2ax, width 3by and height 5cz.",,,5b742ff71c9d444606d1567e,,Volume of a rectangular box= lengthxwidthxheight = 2ax X 3by X 5cz = 30abcxyz,,,,math,number_skills,practice,Multiply and Divide Monomials,html,hard,10abcxyz,ax+by+cz+10,30abcxyz,ax+by+cz+30,C,,,,,,,,,,,,8,mcq
,"The nucleus of a certain atom is 10^-12 centimetres across. If the nucleus of a different atom is 10^-10centimeters across, how many times as large is it as the first atom?",,,5b742ff71c9d444606d1567e,,"We need to find 10-^10 ÷10^-12 = 10^(-10-(-12) 
= 10-^(10+12) = 10^2 =  100",,,,math,number_skills,practice,Multiply and Divide Monomials,html,hard,1,0.1,10,100,D,,,,,,,,,,,,8,mcq
,Simplify: (2^2)^5,,,5b742ff71c9d44c24fd1567f,,"(2^2)5
 = 2^(2x5)
 2^10",,,,math,number_skills,practice,Powers of Monomials,html,easy,2^10,2^7,2^3,2^20,A,,,,,,,,,,,,8,mcq
,Simplify: @\left(z^7\right)^4@,,,5b742ff71c9d44c24fd1567f,,"@\left(z^7\right)^4@
 = @z^{7\times 4}@
 =@z^{28}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@z^7@,@z^{11}@,@z^{21}@,@z^{28}@,D,,,,,,,,,,,,8,mcq
,Simplify: @(4p^2)^3@,,,5b742ff71c9d44c24fd1567f,,"@(4p^2)^3@
 = @4^3p^{2\times 3}@
 = @4^3p^6@
 = @64p^6@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@64p^4@,@16p^6@,@64p^6@,@128p^6@,C,,,,,,,,,,,,8,mcq
,Simplify: @(7b^9)^3@,,,5b742ff71c9d44c24fd1567f,,"@(7b^9)^3@
 = @7^3b^{9\times3}@
 = @343b^{37}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@49b^{27}@,@343b^{12}@,@343b^{21}@,@343b^{27}@,D,,,,,,,,,,,,8,mcq
,Simplify: @\left(h^5\\right)^6@,,,5b742ff71c9d44c24fd1567f,,"@\left(h^5\right)^6@
 = @h^{5\times 6}@
 = @h^{30}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@h^5@,@h^{30}@,@h^{35}@,None of these,B,,,,,,,,,,,,8,mcq
,Simplify: @(11a^7)^2@,,,5b742ff71c9d44c24fd1567f,,"@(11a^7)^2@
 = @11^2n^{7\times 2}@
 = @11^2a^{14}@
 =@121a^{14}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@121a^{14}@,@11a^{14}@,@121a^9@,@121a^{49}@,A,,,,,,,,,,,,8,mcq
,Simplify:@ (-2c^7)^4@,,,5b742ff71c9d44c24fd1567f,,"@(-2c^7)^4@
 = @-2^4c^{7\times 4}@
 = @16^c28@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@-16c^{28}@,@16c^{24}@,@16c^{28}@,@16c^{-28}@,C,,,,,,,,,,,,8,mcq
,Simplify:@ (-3p^2q^3)^5@,,,5b742ff71c9d44c24fd1567f,,"(-3p^2q^3)^5
 = @-35p^{2\times 5}q{3\times5}@
 = @-243p^{10}q^{15}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@-243p^{10}q^{12}@,@243p^{10}q^{15}@,@-243p^2q^{15}@,@-243p^{10}q^{15}@,D,,,,,,,,,,,,8,mcq
,Simplify:@ (-2p^7q^6)^3@,,,5b742ff71c9d44c24fd1567f,,"@ (-2p^7q^6)^3@
 = @-2^3p^{7\times 3}q^{6\times3}@
 =@-8p^{21}q^{18}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@8p^{21}q^{18}@,@-8p^{21}q^{18}@,@-8p^{10}q^{18}@,@-8p^{21}q^{12}@,B,,,,,,,,,,,,8,mcq
,Simplify: @(c^2d^5)^4@,,,5b742ff71c9d44c24fd1567f,,"@(c^2d^5)^4@
 = @c^{2\times 4}d{5\times 4}@
 = @c^8d^{20}@",,,,math,number_skills,practice,Powers of Monomials,html,easy,@cd^{20}@,@c6d^{20}@,@c8d^{20}@,None of these,C,,,,,,,,,,,,8,mcq
,"If a = 25, then @[a^{25}]^0+[a^0]^{25}@= __________.",,,5b742ff71c9d44c24fd1567f,,@[a^{25}]^0+[a^0]^25 = 1+1 = 2@,,,,math,number_skills,practice,Powers of Monomials,html,medium,25,2,24,26,B,,,,,,,,,,,,8,mcq
,@[(3p^2q^2)^2]^3 @= __________.,,,5b742ff71c9d44c24fd1567f,,"@[(3p^2q^2)^2]^3 
=(3p^2q^2)^6 
=729p^12q^12@",,,,math,number_skills,practice,Powers of Monomials,html,medium,@81p^{12}q^{12}@,@729p^{10}q^{12}@,@729p^{12}q^{12}@,@729p^{12}q^{15}@,C,,,,,,,,,,,,8,mcq
,@[(5a^2)^2]^2 @= __________.,,,5b742ff71c9d44c24fd1567f,,@[(5a^2)^2]^2= (5a^2)^4 = 625a^8@,,,,math,number_skills,practice,Powers of Monomials,html,medium,@25a^8@,@625a^4@,@25a^6@,@625a^8@,D,,,,,,,,,,,,8,mcq
,"If 2^n = 4096, then 2^[n-5] = __________.",,,5b742ff71c9d44c24fd1567f,,"4096 = 2^12, 
therefore n = 12,
 n-5 = 12 - 5 =7.
 2^7 = 128",,,,math,number_skills,practice,Powers of Monomials,html,medium,128,64,256,32,A,,,,,,,,,,,,8,mcq
,Simplify: (0.4p^5)^2,,,5b742ff71c9d44c24fd1567f,,(0.4p^5)^2 = 0.16p^{10},,,,math,number_skills,practice,Powers of Monomials,html,medium,0.16p^{10},16p^{10},1.6p^{10},0.16p^7,A,,,,,,,,,,,,8,mcq
,Simplify: [3^5]^11 x [3^15^]4 - [3^5]^18 x [3^5]^5,,,5b742ff71c9d44c24fd1567f,,"[3^5]11x[3^15]4-[3^5]18x[3^5]5
 = 3^55x360-390x325 
= 355+60 - 390+25 
= 3115-3115 = 0",,,,math,number_skills,practice,Powers of Monomials,html,hard,15,3,5,0,D,,,,,,,,,,,,8,mcq
,Simplify and express in exponential form: [(5^2)^3 x 54] ÷5^7.,,,5b742ff71c9d44c24fd1567f,,"[(5^2)^3 x 5^4] ÷5^7 =
 @\frac{[(5^2)^3 x 5^4]}{5^7}
@\frac{5^6 x 5^4}{5^7}@ 
= @\frac{5^10}{5^7}@
 = 5^(10-7) = 5^3",,,,math,number_skills,practice,Powers of Monomials,html,hard,5^2,5^7,5^3,5^5,C,,,,,,,,,,,,8,mcq
,The value of @7^{-2} @is __________.,,,5b742ff71c9d447fb7d15680,,"@7^{-2}@
 = @\frac{1}{72}@
 = @\frac{1}{49}@",,,,math,number_skills,practice,Negative Exponents,html,easy,49,-14,@\frac{1}{49}@,-49,C,,,,,,,,,,,,8,mcq
,@2^{-3}@ = __________.,,,5b742ff71c9d447fb7d15680,,"@2^{-3}@
 =@ 2^3x2^{-1}@
 =@(23)-1@",,,,math,number_skills,practice,Negative Exponents,html,easy,@\frac{1}{2}@-3,(23)-1,23,@\frac{1}{2}@(3-1),B,,,,,,,,,,,,8,mcq
